0	18.4	3.7	13.1	0	0	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0
18.4	0	0	10.3	0	0	0	0	0	0	0	0	0	0	0	0	0	9.2	0	0	0   18.5
3.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0
13.1	10.3	0	0	15.4	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5	0   0
0	0	0	15.4	0	15.2	0	0	0	0	0	0	0	0	0	0	18.2	0	0	0	0   0
0	0	0	0	15.2	0	6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0   0
8.5	0	0	0	0	6.6	0	27.1	0	0	0	0	0	0	0	0	0	0	0	0	0   0
0	0	0	0	0	0	27.1	0	13.1	0	0	0	0	0	0	0	0	0	0	0	0   0
0	0	0	0	0	0	0	13.1	0	7.4	0	0	0	0	0	0	0	0	0	0	0   0
0	0	0	0	0	0	0	0	7.4	0	11.7	0	0	0	0	0	0	0	0	0	0   4.9
0	0	0	0	0	0	0	0	0	11.7	0	3.7	0	0	0	0	0	0	0	0	0   0
0	0	0	0	0	0	0	0	0	0	3.7	0	7.5	0	0	0	0	0	0	0	0   12.7
0	0	0	0	0	0	0	0	0	0	0	7.5	0	14.9	0	0	0	0	6.8	0	0   0
0	0	0	0	0	0	0	0	0	0	0	0	14.9	0	12.3	0	0	0	0	0	0   0
0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	0	5.8	16.0	0	0	0	0   0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8	0	0	5.8	13.2	0	0   0
0	0	0	0	18.2	0	0	0	0	0	0	0	0	0	16.0	0	0	0	0	5.2	0   0
0	9.2	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8	0	0	19.5	5.1	0   0
0	0	0	0	0	0	0	0	0	0	0	0	6.8	0	0	13.2	0	19.5	0	0	0   11.6
0	0	0	9.5	0	0	0	0	0	0	0	0	0	0	0	0	5.2	5.1	0	0	0   0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0   8.3
0	18.5	0	0	0	0	0	0	0	4.9	0	12.7	0	0	0	0	0	0	11.6	0	8.3   0
